Time,RPM
7.5,2400.1815783609
7.501,2400.4212847013
7.502,2400.66099189465
7.503,2400.90069994368
7.504,2401.1404088511
7.505,2401.38011861964
7.506,2401.61982925202
7.507,2401.85954075096
7.508,2402.09925311919
7.509,2402.33896635942
7.51,2402.57868047438
7.511,2402.81839546679
7.512,2403.05811133937
7.513,2403.29782809485
7.514,2403.53754573594
7.515,2403.77726426537
7.516,2404.01698368587
7.517,2404.25670400014
7.518,2404.49642521092
7.519,2404.73614732093
7.52,2404.97587033288
7.521,2405.21559424951
7.522,2405.45531907353
7.523,2405.69504480766
7.524,2405.93477145463
7.525,2406.17449901716
7.526,2406.41422749797
7.527,2406.65395689979
7.528,2406.89368722533
7.529,2407.13341847731
7.53,2407.37315065847
7.531,2407.61288377152
7.532,2407.85261781918
7.533,2408.09235280417
7.534,2408.33208872923
7.535,2408.57182559706
7.536,2408.8115634104
7.537,2409.05130217196
7.538,2409.29104188446
7.539,2409.53078255063
7.54,2409.7705241732
7.541,2410.01026675487
7.542,2410.25001029838
7.543,2410.48975480644
7.544,2410.72950028179
7.545,2410.96924672713
7.546,2411.20899414519
7.547,2411.4487425387
7.548,2411.68849191038
7.549,2411.92824226294
7.55,2412.16799359912
7.551,2412.40774592163
7.552,2412.64749923319
7.553,2412.88725353653
7.554,2413.12700883437
7.555,2413.36676512942
7.556,2413.60652242442
7.557,2413.84628072209
7.558,2414.08604002514
7.559,2414.32580033631
7.56,2414.5655616583
7.561,2414.80532399385
7.562,2415.04508734567
7.563,2415.28485171649
7.564,2415.52461710902
7.565,2415.764383526
7.566,2416.00415097015
7.567,2416.24391944418
7.568,2416.48368895081
7.569,2416.72345949278
7.57,2416.96323107279
7.571,2417.20300369359
7.572,2417.44277735787
7.573,2417.68255206838
7.574,2417.92232782782
7.575,2418.16210463893
7.576,2418.40188250442
7.577,2418.64166142701
7.578,2418.88144140944
7.579,2419.12122245441
7.58,2419.36100456466
7.581,2419.6007877429
7.582,2419.84057199186
7.583,2420.08035731426
7.584,2420.32014371281
7.585,2420.55993119025
7.586,2420.7997197493
7.587,2421.03950939267
7.588,2421.27930012309
7.589,2421.51909194328
7.59,2421.75888485596
7.591,2421.99867886386
7.592,2422.23847396969
7.593,2422.47827017618
7.594,2422.71806748606
7.595,2422.95786590204
7.596,2423.19766542684
7.597,2423.43746606319
7.598,2423.67726781381
7.599,2423.91707068142
7.6,2424.15687466874
7.601,2424.3966797785
7.602,2424.63648601342
7.603,2424.87629337622
7.604,2425.11610186962
7.605,2425.35591149634
7.606,2425.59572225911
7.607,2425.83553416064
7.608,2426.07534720367
7.609,2426.31516139091
7.61,2426.55497672508
7.611,2426.79479320891
7.612,2427.03461084511
7.613,2427.27442963642
7.614,2427.51424958555
7.615,2427.75407069522
7.616,2427.99389296816
7.617,2428.23371640708
7.618,2428.47354101472
7.619,2428.71336679379
7.62,2428.95319374702
7.621,2429.19302187712
7.622,2429.43285118682
7.623,2429.67268167884
7.624,2429.9125133559
7.625,2430.15234622073
7.626,2430.39218027605
7.627,2430.63201552457
7.628,2430.87185196903
7.629,2431.11168961213
7.63,2431.35152845662
7.631,2431.5913685052
7.632,2431.8312097606
7.633,2432.07105222554
7.634,2432.31089590274
7.635,2432.55074079493
7.636,2432.79058690483
7.637,2433.03043423516
7.638,2433.27028278864
7.639,2433.51013256799
7.64,2433.74998357594
7.641,2433.98983581521
7.642,2434.22968928851
7.643,2434.46954399858
7.644,2434.70939994813
7.645,2434.94925713989
7.646,2435.18911557658
7.647,2435.42897526091
7.648,2435.66883619562
7.649,2435.90869838342
7.65,2436.14856182704
7.651,2436.3884265292
7.652,2436.62829249262
7.653,2436.86815972002
7.654,2437.10802821412
7.655,2437.34789797765
7.656,2437.58776901333
7.657,2437.82764132388
7.658,2438.06751491203
7.659,2438.30738978049
7.66,2438.54726593198
7.661,2438.78714336923
7.662,2439.02702209497
7.663,2439.26690211191
7.664,2439.50678342277
7.665,2439.74666603028
7.666,2439.98654993716
7.667,2440.22643514613
7.668,2440.46632165992
7.669,2440.70620948124
7.67,2440.94609861282
7.671,2441.18598905737
7.672,2441.42588081763
7.673,2441.66577389631
7.674,2441.90566829614
7.675,2442.14556401984
7.676,2442.38546107012
7.677,2442.62535944972
7.678,2442.86525916135
7.679,2443.10516020774
7.68,2443.3450625916
7.681,2443.58496631567
7.682,2443.82487138266
7.683,2444.06477779529
7.684,2444.30468555629
7.685,2444.54459466837
7.686,2444.78450513427
7.687,2445.0244169567
7.688,2445.26433013838
7.689,2445.50424468204
7.69,2445.7441605904
7.691,2445.98407786618
7.692,2446.22399651211
7.693,2446.46391653089
7.694,2446.70383792527
7.695,2446.94376069795
7.696,2447.18368485167
7.697,2447.42361038913
7.698,2447.66353731308
7.699,2447.90346562622
7.7,2448.14339533127
7.701,2448.38332643097
7.702,2448.62325892804
7.703,2448.86319282519
7.704,2449.10312812514
7.705,2449.34306483063
7.706,2449.58300294437
7.707,2449.82294246908
7.708,2450.06288340748
7.709,2450.30282576231
7.71,2450.54276953627
7.711,2450.7827147321
7.712,2451.02266135251
7.713,2451.26260940022
7.714,2451.50255887797
7.715,2451.74250978846
7.716,2451.98246213443
7.717,2452.22241591859
7.718,2452.46237114367
7.719,2452.70232781238
7.72,2452.94228592746
7.721,2453.18224549162
7.722,2453.42220650758
7.723,2453.66216897807
7.724,2453.9021329058
7.725,2454.14209829351
7.726,2454.38206514391
7.727,2454.62203345973
7.728,2454.86200324368
7.729,2455.10197449849
7.73,2455.34194722689
7.731,2455.58192143158
7.732,2455.8218971153
7.733,2456.06187428077
7.734,2456.30185293071
7.735,2456.54183306784
7.736,2456.78181469488
7.737,2457.02179781455
7.738,2457.26178242959
7.739,2457.5017685427
7.74,2457.74175615662
7.741,2457.98174527406
7.742,2458.22173589774
7.743,2458.46172803039
7.744,2458.70172167474
7.745,2458.94171683349
7.746,2459.18171350938
7.747,2459.42171170512
7.748,2459.66171142344
7.749,2459.90171266707
7.75,2460.14171543871
7.751,2460.3817197411
7.752,2460.62172557695
7.753,2460.861732949
7.754,2461.10174185995
7.755,2461.34175231254
7.756,2461.58176430948
7.757,2461.82177785349
7.758,2462.06179294731
7.759,2462.30180959364
7.76,2462.54182779522
7.761,2462.78184755477
7.762,2463.021868875
7.763,2463.26189175863
7.764,2463.5019162084
7.765,2463.74194222703
7.766,2463.98196981723
7.767,2464.22199898172
7.768,2464.46202972324
7.769,2464.70206204449
7.77,2464.94209594821
7.771,2465.18213143711
7.772,2465.42216851393
7.773,2465.66220718137
7.774,2465.90224744216
7.775,2466.14228929898
7.776,2466.38233275264
7.777,2466.62237780143
7.778,2466.8624244435
7.779,2467.10247267696
7.78,2467.34252249996
7.781,2467.58257391061
7.782,2467.82262690706
7.783,2468.06268148742
7.784,2468.30273764983
7.785,2468.54279539242
7.786,2468.78285471332
7.787,2469.02291561066
7.788,2469.26297808257
7.789,2469.50304212717
7.79,2469.7431077426
7.791,2469.983174927
7.792,2470.22324367848
7.793,2470.46331399518
7.794,2470.70338587522
7.795,2470.94345931675
7.796,2471.18353431788
7.797,2471.42361087675
7.798,2471.66368899149
7.799,2471.90376866023
7.8,2472.14384988109
7.801,2472.38393265221
7.802,2472.62401697172
7.803,2472.86410283775
7.804,2473.10419024842
7.805,2473.34427920187
7.806,2473.58436969623
7.807,2473.82446172962
7.808,2474.06455530018
7.809,2474.30465040604
7.81,2474.54474704533
7.811,2474.78484521617
7.812,2475.0249449167
7.813,2475.26504614504
7.814,2475.50514889933
7.815,2475.7452531777
